xyzin;r_factor_init;r_free_init;r_factor_final;r_free_final;rms_bond_angle_final;rms_bond_lenght_final;rms_chiral_volume_final;weight_matrix;ncyc;tlsc;external_distance;external_angle;external_gmwt;external_file
data/2han.pdb;0.1856;0.2204;0.1807;0.2155;1.7948;0.0109;0.0965;0.07;30;0;2.7;2.7;0.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1807;0.2155;1.7948;0.0109;0.0965;0.07;30;0;2.7;2.7;0.5;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1807;0.2155;1.7948;0.0109;0.0965;0.07;30;0;2.7;2.7;1.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1807;0.2155;1.7948;0.0109;0.0965;0.07;30;0;2.7;2.7;1.5;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1807;0.2155;1.7948;0.0109;0.0965;0.07;30;0;2.7;2.7;2.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1807;0.2155;1.7948;0.0109;0.0965;0.07;30;0;2.7;2.7;2.5;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1807;0.2155;1.7948;0.0109;0.0965;0.07;30;0;2.7;2.7;3.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1807;0.2155;1.7948;0.0109;0.0965;0.07;30;0;2.7;2.7;3.5;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1807;0.2155;1.7948;0.0109;0.0965;0.07;30;0;2.7;2.7;4.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1807;0.2155;1.7948;0.0109;0.0965;0.07;30;0;2.7;2.7;4.5;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1807;0.2155;1.7948;0.0109;0.0965;0.07;30;0;2.7;2.7;5.0;@tmp/100.in
