xyzin;r_factor_init;r_free_init;r_factor_final;r_free_final;rms_bond_angle_final;rms_bond_lenght_final;rms_chiral_volume_final;weight_matrix;ncyc;tlsc;external_distance;external_angle;external_gmwt;external_file
data/2han.pdb;0.1856;0.2204;0.3342;0.3380;1.4277;0.0109;0.0669;0.0;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.2057;0.2309;1.5243;0.0073;0.0816;0.01;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1949;0.2232;1.5757;0.0078;0.0859;0.02;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1896;0.2198;1.6321;0.0084;0.0893;0.03;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1863;0.2180;1.6776;0.0091;0.0921;0.04;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1840;0.2169;1.7158;0.0097;0.0938;0.05;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1822;0.2162;1.7540;0.0103;0.0953;0.06;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1807;0.2155;1.7948;0.0109;0.0965;0.07;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1796;0.2151;1.8315;0.0115;0.0979;0.08;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1787;0.2151;1.8703;0.0122;0.0991;0.09;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1776;0.2144;1.9102;0.0127;0.1001;0.1;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1767;0.2143;1.9508;0.0133;0.1013;0.11;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1761;0.2140;1.9843;0.0138;0.1024;0.12;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1753;0.2139;2.0266;0.0143;0.1033;0.13;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1747;0.2139;2.0664;0.0148;0.1042;0.14;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1742;0.2135;2.1045;0.0153;0.1053;0.15;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1738;0.2133;2.1293;0.0159;0.1065;0.16;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1733;0.2130;2.1693;0.0163;0.1074;0.17;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1728;0.2128;2.2061;0.0168;0.1085;0.18;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1722;0.2127;2.2441;0.0172;0.1096;0.19;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1719;0.2124;2.2764;0.0177;0.1106;0.2;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1715;0.2124;2.3041;0.0181;0.1117;0.21;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1711;0.2124;2.3446;0.0186;0.1129;0.22;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1708;0.2125;2.3799;0.0190;0.1140;0.23;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1705;0.2125;2.4022;0.0194;0.1150;0.24;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1700;0.2125;2.4441;0.0199;0.1164;0.25;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1699;0.2126;2.4691;0.0202;0.1172;0.26;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1696;0.2125;2.5001;0.0207;0.1186;0.27;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1695;0.2126;2.5234;0.0211;0.1198;0.28;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1693;0.2125;2.5579;0.0215;0.1209;0.29;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1688;0.2126;2.5995;0.0219;0.1223;0.3;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1687;0.2126;2.6201;0.0222;0.1237;0.31;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1685;0.2125;2.6501;0.0226;0.1249;0.32;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1681;0.2124;2.6847;0.0230;0.1260;0.33;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1678;0.2122;2.7218;0.0234;0.1272;0.34;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1677;0.2123;2.7461;0.0237;0.1284;0.35;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1675;0.2123;2.7722;0.0241;0.1295;0.36;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1672;0.2122;2.8052;0.0244;0.1303;0.37;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1674;0.2123;2.8183;0.0247;0.1318;0.38;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1670;0.2124;2.8544;0.0251;0.1328;0.39;30;0;2.7;2.7;5.0;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1671;0.2125;2.8730;0.0255;0.1344;0.4;30;0;2.7;2.7;5.0;@tmp/100.in
