xyzin;r_factor_init;r_free_init;r_factor_final;r_free_final;rms_bond_angle_final;rms_bond_lenght_final;rms_chiral_volume_final;weight_matrix;ncyc;tlsc;external_distance;external_angle;external_gmwt;external_file
data/2han.pdb;0.1856;0.2204;0.1860;0.2194;3.6745;0.0089;0.1253;0.07;30;0;0.0;0.0;0.5;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1861;0.2189;2.6313;0.0343;0.1205;0.07;30;0;0.1;0.1;0.5;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1862;0.2178;2.2117;0.0202;0.1104;0.07;30;0;0.2;0.2;0.5;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1864;0.2175;2.0399;0.0146;0.1053;0.07;30;0;0.3;0.3;0.5;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1865;0.2176;1.9448;0.0120;0.1022;0.07;30;0;0.4;0.4;0.5;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1863;0.2174;1.8857;0.0106;0.1000;0.07;30;0;0.5;0.5;0.5;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1863;0.2179;1.8498;0.0100;0.0996;0.07;30;0;0.6;0.6;0.5;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1862;0.2180;1.8208;0.0096;0.0988;0.07;30;0;0.7;0.7;0.5;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1860;0.2179;1.7956;0.0094;0.0978;0.07;30;0;0.8;0.8;0.5;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1859;0.2178;1.7765;0.0093;0.0971;0.07;30;0;0.9;0.9;0.5;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1856;0.2176;1.7598;0.0092;0.0962;0.07;30;0;1.0;1.0;0.5;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1854;0.2173;1.7441;0.0092;0.0949;0.07;30;0;1.1;1.1;0.5;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1852;0.2173;1.7392;0.0093;0.0950;0.07;30;0;1.2;1.2;0.5;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1849;0.2172;1.7338;0.0093;0.0945;0.07;30;0;1.3;1.3;0.5;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1847;0.2170;1.7294;0.0094;0.0942;0.07;30;0;1.4;1.4;0.5;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1844;0.2170;1.7292;0.0094;0.0944;0.07;30;0;1.5;1.5;0.5;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1841;0.2170;1.7334;0.0096;0.0952;0.07;30;0;1.6;1.6;0.5;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1838;0.2169;1.7305;0.0096;0.0944;0.07;30;0;1.7;1.7;0.5;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1836;0.2167;1.7340;0.0097;0.0947;0.07;30;0;1.8;1.8;0.5;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1833;0.2166;1.7375;0.0098;0.0946;0.07;30;0;1.9;1.9;0.5;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1829;0.2163;1.7433;0.0100;0.0949;0.07;30;0;2.0;2.0;0.5;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1826;0.2162;1.7486;0.0101;0.0951;0.07;30;0;2.1;2.1;0.5;@tmp/100.in
data/2han.pdb;0.1856;0.2204;0.1824;0.2162;1.7555;0.0102;0.0957;0.07;30;0;2.2;2.2;0.5;@tmp/100.in
