pdb_file;r_work;r_free;rmsd_bonds;rmsd_angles;wxc;restraints_file
data/429d.pdb;0.1930;0.2582;0.010;1.742;6.0;None
data/429d.pdb;0.1929;0.2579;0.010;1.750;6.05;None
data/429d.pdb;0.1923;0.2590;0.011;1.763;6.1;None
data/429d.pdb;0.1924;0.2585;0.011;1.762;6.15;None
data/429d.pdb;0.1919;0.2574;0.011;1.776;6.2;None
data/429d.pdb;0.1927;0.2594;0.011;1.782;6.25;None
data/429d.pdb;0.1917;0.2592;0.011;1.786;6.3;None
data/429d.pdb;0.1921;0.2595;0.011;1.799;6.35;None
data/429d.pdb;0.1924;0.2587;0.011;1.809;6.4;None
data/429d.pdb;0.1920;0.2597;0.011;1.815;6.45;None
data/429d.pdb;0.1920;0.2592;0.011;1.833;6.5;None
