pdb_file;r_work;r_free;rmsd_bonds;rmsd_angles;wxc;restraints_file
data/2gun.updated.pdb;0.1996;0.3105;0.010;1.568;2.5;None
data/2gun.updated.pdb;0.2012;0.3071;0.010;1.580;2.55;None
data/2gun.updated.pdb;0.2002;0.3062;0.010;1.581;2.6;None
data/2gun.updated.pdb;0.2008;0.3066;0.010;1.594;2.65;None
data/2gun.updated.pdb;0.1999;0.3087;0.010;1.609;2.7;None
data/2gun.updated.pdb;0.2001;0.3097;0.011;1.622;2.75;None
data/2gun.updated.pdb;0.1992;0.3098;0.010;1.639;2.8;None
data/2gun.updated.pdb;0.1997;0.3081;0.011;1.664;2.85;None
data/2gun.updated.pdb;0.1996;0.3068;0.011;1.684;2.9;None
data/2gun.updated.pdb;0.1980;0.3131;0.011;1.693;2.95;None
data/2gun.updated.pdb;0.2013;0.3135;0.011;1.711;3.0;None
data/2gun.updated.pdb;0.1980;0.3064;0.011;1.733;3.05;None
data/2gun.updated.pdb;0.1983;0.3109;0.011;1.772;3.1;None
data/2gun.updated.pdb;0.2004;0.3122;0.012;1.727;3.15;None
data/2gun.updated.pdb;0.1978;0.3126;0.012;1.772;3.2;None
data/2gun.updated.pdb;0.1981;0.3169;0.012;1.788;3.25;None
data/2gun.updated.pdb;0.1979;0.3117;0.012;1.817;3.3;None
data/2gun.updated.pdb;0.1992;0.3172;0.012;1.812;3.35;None
data/2gun.updated.pdb;0.1984;0.3154;0.012;1.836;3.4;None
data/2gun.updated.pdb;0.1988;0.3138;0.012;1.815;3.45;None
data/2gun.updated.pdb;0.1992;0.3166;0.012;1.849;3.5;None
