pdb_file;r_work;r_free;rmsd_bonds;rmsd_angles;wxc;restraints_file
data/2gun.updated.pdb;0.2012;0.2993;0.010;1.631;2.5;"data/2gun_sugars_restraints.txt"
data/2gun.updated.pdb;0.2028;0.3017;0.011;1.696;2.55;"data/2gun_sugars_restraints.txt"
data/2gun.updated.pdb;0.2018;0.3006;0.010;1.717;2.6;"data/2gun_sugars_restraints.txt"
data/2gun.updated.pdb;0.2019;0.2943;0.010;1.726;2.65;"data/2gun_sugars_restraints.txt"
data/2gun.updated.pdb;0.2025;0.2985;0.011;1.736;2.7;"data/2gun_sugars_restraints.txt"
data/2gun.updated.pdb;0.2026;0.2998;0.011;1.786;2.75;"data/2gun_sugars_restraints.txt"
data/2gun.updated.pdb;0.2015;0.3019;0.011;1.777;2.8;"data/2gun_sugars_restraints.txt"
data/2gun.updated.pdb;0.2041;0.3049;0.011;1.777;2.85;"data/2gun_sugars_restraints.txt"
data/2gun.updated.pdb;0.2014;0.2987;0.011;1.826;2.9;"data/2gun_sugars_restraints.txt"
data/2gun.updated.pdb;0.2017;0.2998;0.011;1.825;2.95;"data/2gun_sugars_restraints.txt"
data/2gun.updated.pdb;0.2016;0.2996;0.012;1.852;3.0;"data/2gun_sugars_restraints.txt"
data/2gun.updated.pdb;0.2026;0.2988;0.012;1.888;3.05;"data/2gun_sugars_restraints.txt"
data/2gun.updated.pdb;0.2015;0.3042;0.013;1.898;3.1;"data/2gun_sugars_restraints.txt"
data/2gun.updated.pdb;0.2007;0.2973;0.013;1.952;3.15;"data/2gun_sugars_restraints.txt"
data/2gun.updated.pdb;0.2026;0.3048;0.012;1.873;3.2;"data/2gun_sugars_restraints.txt"
data/2gun.updated.pdb;0.2015;0.2946;0.013;1.951;3.25;"data/2gun_sugars_restraints.txt"
data/2gun.updated.pdb;0.2009;0.2986;0.013;1.963;3.3;"data/2gun_sugars_restraints.txt"
data/2gun.updated.pdb;0.2000;0.2974;0.013;1.948;3.35;"data/2gun_sugars_restraints.txt"
data/2gun.updated.pdb;0.1996;0.3009;0.013;1.954;3.4;"data/2gun_sugars_restraints.txt"
data/2gun.updated.pdb;0.2014;0.3045;0.014;2.025;3.45;"data/2gun_sugars_restraints.txt"
data/2gun.updated.pdb;0.1998;0.2984;0.013;2.049;3.5;"data/2gun_sugars_restraints.txt"
