Avg. bond angle SEM ,Avg. bond length SEM,Bond angle std mean,Bond length std mean,File count,Max R-factor,Max e.s.d. (C-C),Name,No disorder,Remove outliers,Structure count
0.19366536127697376,0.001397639632970202,1.396540780730774,0.010078522722589467,43,10.0,0.01,deoxyribose purine,True,True,52
0.19151743627021708,0.0013983332188854318,1.5440629345038313,0.011273722828662323,52,10.0,0.01,deoxyribose purine,True,False,65
0.19394119642694924,0.0014386555822865782,1.4119132220467285,0.01047357073187314,45,10.0,1.0,deoxyribose purine,True,True,53
0.18977021060612567,0.0014337175980047466,1.5763497598918323,0.011909352812271812,56,10.0,1.0,deoxyribose purine,True,False,69
0.1862675960124326,0.001352749709460432,1.4062895105497641,0.01021303633878687,46,10.0,0.01,deoxyribose purine,False,True,57
0.18741900232921657,0.001318854911574635,1.6658165302014,0.011722238862306915,59,10.0,0.01,deoxyribose purine,False,False,79
0.18421390436725626,0.001329111559245662,1.4505017334902346,0.010465434882940458,51,10.0,1.0,deoxyribose purine,False,True,62
0.18789568310587668,0.0015550300393777571,1.782534963383373,0.01475231026324511,67,10.0,1.0,deoxyribose purine,False,False,90
0.19366536127697376,0.001397639632970202,1.396540780730774,0.010078522722589467,43,9.5,0.01,deoxyribose purine,True,True,52
0.19151743627021708,0.0013983332188854318,1.5440629345038313,0.011273722828662323,52,9.5,0.01,deoxyribose purine,True,False,65
0.19394119642694924,0.0014386555822865782,1.4119132220467285,0.01047357073187314,45,9.5,1.0,deoxyribose purine,True,True,53
0.18977021060612567,0.0014337175980047466,1.5763497598918323,0.011909352812271812,56,9.5,1.0,deoxyribose purine,True,False,69
0.1862675960124326,0.001352749709460432,1.4062895105497641,0.01021303633878687,46,9.5,0.01,deoxyribose purine,False,True,57
0.18741900232921657,0.001318854911574635,1.6658165302014,0.011722238862306915,59,9.5,0.01,deoxyribose purine,False,False,79
0.18421390436725626,0.001329111559245662,1.4505017334902346,0.010465434882940458,51,9.5,1.0,deoxyribose purine,False,True,62
0.18789568310587668,0.0015550300393777571,1.782534963383373,0.01475231026324511,67,9.5,1.0,deoxyribose purine,False,False,90
